Part #,Description,Product Group,Net Weight
JM2S21/4RDBX,JM 2-S2 1/4 RD BX (ROUND SOLID BOX),MISCELLANEOUS ACCESSORIES RAM,22
BALL1375,JM 2-S2 1/4 RD LB (2-S2 1/4 ROUND SOLID POUND),FORTON CONCRETE AND GYPSUM LATEX,1
BALL1376,"JM 2-S2 1/4 RD PC (2-S2 1/4""""ROUND SOLID PIEC",FORTON CONCRETE AND GYPSUM LATEX,0.04
JM2S21/4SQBX,JM 2-S2 1/4 SQ BX (SQUARE SOLID BOX),MISCELLANEOUS ACCESSORIES RAM,22
BALL1377,"JM 2-S2 1/4 SQ LB (2-S2 1/4"""" SQUARE SOLID POUN",FORTON CONCRETE AND GYPSUM LATEX,1
BALL1378,"JM 2-S2 1/4 SQ PC (2-S2 1/4"""" SQUARE SOLID PIEC",FORTON CONCRETE AND GYPSUM LATEX,0.06
BALL1379,JM 2-S2 1/4 X 1/2 LB (2-S2 1/4 X 1/2 SOLID POUND),FORTON CONCRETE AND GYPSUM LATEX,0
JM2S2316RDBX,JM 2-S2 3/16 RD BX (ROUND SOLID BOX),MISCELLANEOUS ACCESSORIES RAM,22
BALL1380,JM 2-S2 3/16 RD LB (2-S2 3/16 ROUND SOLID POUND),FORTON CONCRETE AND GYPSUM LATEX,1
BALL1381,"JM 2-S2 3/16 RD PC (2-S2 3/16"""" ROUND SOLID PIEC",FORTON CONCRETE AND GYPSUM LATEX,0.03
BALL1382,"JM 2-S2 3/16 SQ LB (2-S2 3/16"""" SQUARE SOLID POUN",FORTON CONCRETE AND GYPSUM LATEX,0
JM2S23/4RDBX,JM 2-S2 3/4 RD BX (ROUND SOLID BOX),MISCELLANEOUS ACCESSORIES RAM,54
JM2S23/4RDLB,JM 2-S2 3/4 RD LB (ROUND SOLID POUND),MISCELLANEOUS ACCESSORIES RAM,1
BALL1383,"JM 2-S2 3/4 RD PC (2-S2 3/4"""" ROUND SOLID PIEC",FORTON CONCRETE AND GYPSUM LATEX,0.37
JM2S23/4SQBX,JM 2-S2 3/4 SQ BX (SQUARE SOLID BOX),MISCELLANEOUS ACCESSORIES RAM,66
JM2S234SQCDB,JM 2-S2 3/4 SQ CD BX (SQUARE CORED BOX),MISCELLANEOUS ACCESSORIES RAM,56
BALL1384,"JM 2-S2 3/4 SQ CD LB (2-S2 3/4"""" SQUARE CORED POUN",FORTON CONCRETE AND GYPSUM LATEX,1
BALL1385,"JM 2-S2 3/4 SQ CD PC (2-S2 3/4"""" SQUARE CORED PIEC",FORTON CONCRETE AND GYPSUM LATEX,0.4
BALL1386,"JM 2-S2 3/4 SQ LB (2-S2 3/4"""" SQUARE SOLID POUN",FORTON CONCRETE AND GYPSUM LATEX,1
BALL1387,"JM 2-S2 3/4 SQ PC (2-S2 3/4"""" SQUARE SOLID PIEC",FORTON CONCRETE AND GYPSUM LATEX,0.46
JM2S23/8RDBX,JM 2-S2 3/8 RD BX (ROUND SOLID BOX),MISCELLANEOUS ACCESSORIES RAM,55
BALL1388,JM 2-S2 3/8 RD LB (2-S2 3/8 ROUND SOLID POUND),FORTON CONCRETE AND GYPSUM LATEX,1
BALL1389,"JM 2-S2 3/8 RD PC (2-S2 3/8"""" ROUND SOLID PIEC",FORTON CONCRETE AND GYPSUM LATEX,0.1
JM2S23/8SQBX,JM 2-S2 3/8 SQ BX (SQUARE SOLID BOX),MISCELLANEOUS ACCESSORIES RAM,66
BALL1390,"JM 2-S2 3/8 SQ LB (2-S2 3/8"""" SQUARE SOLID POUN",FORTON CONCRETE AND GYPSUM LATEX,1
BALL1391,"JM 2-S2 3/8 SQ PC (2-S2 3/8"""" SQUARE SOLID PIEC",FORTON CONCRETE AND GYPSUM LATEX,0
BALL1392,"JM 2-S2 5/8 SQ CD LB (2-S2 5/8"""" SQUARE CORED POUN",FORTON CONCRETE AND GYPSUM LATEX,0
BALL1393,"JM 2-S738 1 SQ CD LB (2-S738 1"""" SQUARE CORED GREEN POUN",FORTON CONCRETE AND GYPSUM LATEX,0
BALL1394,"JM 2-S738 1/2 SQ LB (2-S738 1/2"""" SQUARE SOLID GREEN POUN",FORTON CONCRETE AND GYPSUM LATEX,0
BALL1395,"JM 2-S738 1/4 SQ (2-S738 1/4"""" SQUARE SOLID GREEN POUN",FORTON CONCRETE AND GYPSUM LATEX,0
BALL1396,"JM 2-S738 3/4 SQ (2-S738  3/4"""" SQUARE SOLID GREEN POUN",FORTON CONCRETE AND GYPSUM LATEX,0
BALL1397,"JM 2-S738 3/4 SQ CD LB (2-S738 3/4"""" SQUARE CORED GREEN POUN",FORTON CONCRETE AND GYPSUM LATEX,0
BALL1398,"JM 2-S738 3/8"""" SQR (2-S738 3/8"""" SQUARE SOLID GREEN PO",FORTON CONCRETE AND GYPSUM LATEX,0
BALL1399,JM 2-U28 PELLETS (2-U28 STICK WAX PELLETS 1/2 LB),FORTON CONCRETE AND GYPSUM LATEX,0.5
JM2U28PELBX,JM 2-U28 PELLETS BX (STICK WAX BOX),MISCELLANEOUS ACCESSORIES RAM,50
JM2U28PELLET,JM 2-U28 PELLETS LB (STICK WAX POUNDS),MISCELLANEOUS ACCESSORIES RAM,1
BALL1400,JM 2-U28 STICK (2-U28 YELLOW STICK WAX PUCK),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1401,JM 2-U3 PATCH (2-U3 RED PATCH WAX MEDIUM HARD),FORTON CONCRETE AND GYPSUM LATEX,1
BALL1402,JM 2-U7 PATCH (2-U 7 PATCH WAX  XSOFT  AZ),FORTON CONCRETE AND GYPSUM LATEX,1
BALL1403,JM 2AB100 (LBS. 2-AB100 SCULPT WAX HARD BROWN),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1404,JM 2AB150 (MICRO WAX BROWN),FORTON CONCRETE AND GYPSUM LATEX,1
BALL1405,JM 2AB200 (FIRM BROWN CLAY),FORTON CONCRETE AND GYPSUM LATEX,1
BALL1406,JM 2AB210 (MEDIUM BROWN CLAY),FORTON CONCRETE AND GYPSUM LATEX,1
BALL1407,JM 2AB220 (FIRM TAN CLAY) 10 LB SLAB,FORTON CONCRETE AND GYPSUM LATEX,10
BALL2047,JM 2AB220 (FIRM TAN CLAY) PER POUND,FORTON CONCRETE AND GYPSUM LATEX,1
BALL1408,JM 2AB225 (MEDIUM TAN CLAY),FORTON CONCRETE AND GYPSUM LATEX,1
BALL1409,JM 2AB250 (SOFT TAN CLAY),FORTON CONCRETE AND GYPSUM LATEX,1
BALL1410,JM 2AB300 (LBS. 2-AB300 SCULPT WAX FIRM BROWN),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1411,JM 2AB310 (LBS. 2-AB310 SCULPT WAX MED BROWN),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1412,JM 2AB320 (LBS. 2-AB320 SCULPT WAX FIRM TAN),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1413,JM 2AB330 (LBS. 2AB330 SCULPT WAX MED TAN),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1414,JM 2AB350 (LBS. 2-AB350 SCULPT WAX EXTRA-SOFT NUETRAL),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1415,JM 2AB43 (LBS. 2-AB43 RED ART BRONZE WAX),FORTON CONCRETE AND GYPSUM LATEX,1
BALL1416,JM 2AB44 (LBS. 2-AB44 RED ART BRONZE WAX),FORTON CONCRETE AND GYPSUM LATEX,1
BALL1417,JM 2AB45 (LBS. 2-AB45 RED ART BRONZE WAX),FORTON CONCRETE AND GYPSUM LATEX,1
BALL1418,JM 2AB55 (LBS. 2-AB55 BROWN ART BRONZE WAX),FORTON CONCRETE AND GYPSUM LATEX,1
BALL1419,JM 2AB56 (LBS. 2-AB56 BROWN ART BRONZE WAX),FORTON CONCRETE AND GYPSUM LATEX,1
BALL1420,JM 2AB810 (LBS. 2-AB810 SCULPT-A-KLAY FIRM),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1421,JM 2P84 (2-P84 RED PATTERN WAX),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1422,JM CERITA 19-48A (LBS. CERITA 19-48A SCULPURING WAX),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1423,JM OPT 2.0 (LBS. OPTIMUS 2.0 AMBER MICRO WAX),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1424,JM OPT 3.0 (LBS. OPTIMUS 3.0  BROWN MICRO WAX),FORTON CONCRETE AND GYPSUM LATEX,0
HFJOE04,JOE HAND ARMATURE (MALE),EPOXIES AND EPOXY ADHESIVES,6
HFJOE03,JOE HUMAN ARMATURE (MALE),EPOXIES AND EPOXY ADHESIVES,7
HFJOE01,JOE HUMAN DISPLAY (MALE FOAM/NO SHOULDERS),MISCELLANEOUS ACCESSORIES RAM,3
HFJOE02,JOE HUMAN DISPLAY LARGE( FOAM/NO SHOULDERS/EARS),MISCELLANEOUS ACCESSORIES RAM,3
628164,JOHNSON PASTE WAX 1LB,MISCELLANEOUS ACCESSORIES RAM,1
128410,JOLLY KING - GRAY-GREEN (1# 0.45KGS),CHAVANT,1
128440,JOLLY KING - GRAY-GREEN CS:48 BLOCKS (48# 21.60KGS),CHAVANT,48
BALL1425,JR#3RECTSCR (METAL RECTANLGE SCRAPER #3),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1426,JR.53 (STEEL TOOL #53),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1427,JR.57 (STEEL TOOL #57),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1428,"JR.93SP (STEEL SPAT. 1""""X5-5/",FORTON CONCRETE AND GYPSUM LATEX,0
BALL1429,JRTOOLROLL (CANVAS BRUSH ROLL UP),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1430,JRWIRECUTTER (WIRE TOGGLE CLAY CUTTER),FORTON CONCRETE AND GYPSUM LATEX,0
JULY LF SEM,JULY LIFECASTING SEMINAR,MISCELLANEOUS ACCESSORIES RAM,0
JUL MOLD SEM,JULY MOLDMAKING SEMINAR,MISCELLANEOUS ACCESSORIES RAM,0
JUN LF SEM,JUNE LIFECASTING SEMINAR,MISCELLANEOUS ACCESSORIES RAM,0
JUN MOLD SEM,JUNE MOLDMAKING SEMINAR,MISCELLANEOUS ACCESSORIES RAM,0
SWSCA-43,JUNKYARD ROBOTS - J. GEE,MISCELLANEOUS ACCESSORIES RAM,0.175
109683,KC-351 SUNNY GOLD (1472003),BUDDY RHODES PRODUCTS,0
KTWT1,KENS TOOL WT1 WRINKLE TOOL #1 (2&3 PRONG WRINKLE),MISCELLANEOUS ACCESSORIES RAM,0
KTEME,KENS TOOLS EME EYES MADE EASY DVD VOL 1,MISCELLANEOUS ACCESSORIES RAM,0.03
KTEMES,KENS TOOLS EMES EYES MADE EASY DVD SUPPLEMENT,MISCELLANEOUS ACCESSORIES RAM,0
KTEP1,KENS TOOLS EP1 EYE PLATE #1,MISCELLANEOUS ACCESSORIES RAM,0
KTEP2,KENS TOOLS EP2 EYE PLATE #2,MISCELLANEOUS ACCESSORIES RAM,0
KTIB1,KENS TOOLS IB1 ITTY BITTY 2 PACK,MISCELLANEOUS ACCESSORIES RAM,0
KTJB1,KENS TOOLS JB1 JEWELER'S BLADE RAKE #1,MISCELLANEOUS ACCESSORIES RAM,0
KTJB2,KENS TOOLS JB2 JEWELER'S BLADE RAKE #2,MISCELLANEOUS ACCESSORIES RAM,0
KTLT1,KENS TOOLS LT1 LOOP TOOL,MISCELLANEOUS ACCESSORIES RAM,0
KTMK1,"KENS TOOLS MK1 1 1/8"" EYE MOLD KIT",MISCELLANEOUS ACCESSORIES RAM,3
KTPT1,KENS TOOLS PT1 PORE TOOL#1 4 4PT. (SM SKIN PORE TOOL),MISCELLANEOUS ACCESSORIES RAM,0.03
KTPT2,KENS TOOLS PT2 PORE TOOL #2 7 PT. (LG AREA SKIN PORE),MISCELLANEOUS ACCESSORIES RAM,0.03
KTPT3,KENS TOOLS PT3 PORE TOOL #3 DASH (FACE DASH LINE),MISCELLANEOUS ACCESSORIES RAM,0.03
KTSPH1,"KENS TOOLS SPH1 1 1/8"" SPHERE SET",MISCELLANEOUS ACCESSORIES RAM,1
KTSPH2,"KENS TOOLS SPH2 1"" SPHERE INDIVIDUAL",MISCELLANEOUS ACCESSORIES RAM,0
KTSPH3,"KENS TOOLS SPH3 1 1/8"" SPHERE INDIVIDUAL",MISCELLANEOUS ACCESSORIES RAM,0
KTST1F,KENS TOOLS ST1 FINE 4 PACK (FINE DETAIL RAKE TOOLS),MISCELLANEOUS ACCESSORIES RAM,0.05
KTST2M,KENS TOOLS ST2 MED 4 PACK (MEDIUM DETAIL RAKE TOOLS),MISCELLANEOUS ACCESSORIES RAM,0.05
KTST3H,KENS TOOLS ST3 HEAVY 4 PACK (GEN SURFACE RAKE TOOLS),MISCELLANEOUS ACCESSORIES RAM,0.07
KTST4,KENS TOOLS ST4 X-HEAVY,MISCELLANEOUS ACCESSORIES RAM,0
KTST5,KENS TOOLS ST5 RAKE (BLOCKING OUT RAKE),MISCELLANEOUS ACCESSORIES RAM,0.03
KTST6,KENS TOOLS ST6 RAKE (ROUND BLOCKING OUT TOOLS),MISCELLANEOUS ACCESSORIES RAM,0
KTST7,KENS TOOLS ST7 X-HEAVY RAKE,MISCELLANEOUS ACCESSORIES RAM,0
KTST8,KENS TOOLS ST8 COMBO,MISCELLANEOUS ACCESSORIES RAM,0
KTWT2,KENS TOOLS WT2 WRINKLE TOOL #2 (6 PRONG WRINKLE),MISCELLANEOUS ACCESSORIES RAM,0.02
KTWT3,KENS TOOLS WT3 WRINKLE TOOL #3 (.025 WIRE 3 PRONG),MISCELLANEOUS ACCESSORIES RAM,0
KTWT4,KENS TOOLS WT4 WRINKLE TOOL #4 (.047 WIRE WRINKLE),MISCELLANEOUS ACCESSORIES RAM,0
10300,"KKR-340 5/8"" X 2"" X 10 1/2""  CLAY",MISCELLANEOUS ACCESSORIES RAM,0
KKF50#,KLEAN KLAY 50# BOX (NO INDIV. WRAP) FIRM,EPOXIES AND EPOXY ADHESIVES,0
BALL1431,KLEAN KLAY B SOFT (KLEAN KLAY BROWN SOFT),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1432,KLEAN KLAY BF (KLEANKLAY WRAPPED BROWN FIRM),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1433,KLEAN KLAY NF (KLEANKLAY WRAPPED NATURAL FIRM),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1434,KLEAN KLAY NR (KLEAN KLAY NATURAL REGULAR - SHEETS),FORTON CONCRETE AND GYPSUM LATEX,1
KKRT,"KLEAN KLAY REGULAR, NATURAL 1 LB",EPOXIES AND EPOXY ADHESIVES,0
KKR,"KLEAN KLAY REGULAR, TAN 1 LB",MISCELLANEOUS ACCESSORIES RAM,0
KKST,"KLEAN KLAY SOFT, NATURAL 1LB",EPOXIES AND EPOXY ADHESIVES,0
KKXFT,"KLEAN KLAY X-FIRM, NATURAL 1LB",EPOXIES AND EPOXY ADHESIVES,0
CR1,KNIFE UTILITY RETRACTIBLE,AIM SUPPLY,0
117980B,KNIGHTSMODEL 5319 55-GAL PART-B (410# 185.97KGS),CASTING RESINS,410
117981,KNIGHTSMODEL 5319 DRUM UNIT (850# 385.55KGS),CASTING RESINS,850
117741,KNIGHTSMODEL 5319 RESIN (1.9# 0.86KGS),CASTING RESINS,1.9
99765,KNOB FOR REGULATOR ON PRESSURE POT,MISCELLANEOUS,1
K03530,KRYLON CRYSTAL CLEAR ACRYLIC SPRAY FLAT,MISCELLANEOUS ACCESSORIES RAM,1
B37474,KRYLON CRYSTAL TINT BASE GRAPHIC ARTS GLOSS (11OZ),MISCELLANEOUS ACCESSORIES RAM,0
K7099,KRYLON SNAP & SPRAY,MISCELLANEOUS ACCESSORIES RAM,1
101211,KWIKEE SPRAYER FLYER (7092) *PI,SALES AND MARKETING MATERIAL,0.01
101548,KX FLEX  SERIES AND UVO PIGMENTS 2-SIDED FLYER (*PI),SALES AND MARKETING MATERIAL,0.01
136960A,KX FLEX 40 1-GALLON PART-A  (8# 3.63KGS),FLEXIBLE URETHANES,8
136960B,KX FLEX 40 1-GALLON PART-B  (8# 3.63KGS),FLEXIBLE URETHANES,8
136961,KX FLEX 40 1-GALLON UNIT  (16# 7.26KGS),FLEXIBLE URETHANES,16
136970A,KX FLEX 40 5-GALLON PART-A (40# 18.14KGS),FLEXIBLE URETHANES,40
136970B,KX FLEX 40 5-GALLON PART-B (40# 18.14KGS),FLEXIBLE URETHANES,40
136971,KX FLEX 40 5-GALLON UNIT (80# 36.28KGS),FLEXIBLE URETHANES,80
136980A,KX FLEX 40 55-GAL PART-A (440# 199.58KGS),FLEXIBLE URETHANES,440
136980B,KX FLEX 40 55-GAL PART-B (440# 199.58KGS),FLEXIBLE URETHANES,440
136944,KX FLEX 40 CS:4 PINTS (8# 3.60KGS),FLEXIBLE URETHANES,8
136981,KX FLEX 40 DRUM UNIT (880# 399.16KGS),FLEXIBLE URETHANES,880
136940A,KX FLEX 40 PINT PART-A (1# 0.45KGS),FLEXIBLE URETHANES,1
136940B,KX FLEX 40 PINT PART-B (1# 0.45KGS),FLEXIBLE URETHANES,1
136941,KX FLEX 40 PINT UNIT (2# 0.90KGS),FLEXIBLE URETHANES,2
112060A,KX FLEX 60 1-GAL PART-A (8# 3.63KGS),FLEXIBLE URETHANES,8
112060B,KX FLEX 60 1-GAL PART-B (7.5# 3.40KGS),FLEXIBLE URETHANES,7.5
112061,KX FLEX 60 1-GAL UNIT (15.5# 7.03KGS),FLEXIBLE URETHANES,15.5
112070A,KX FLEX 60 5-GAL PART-A (40# 18.14KGS),FLEXIBLE URETHANES,40
112070B,KX FLEX 60 5-GAL PART-B (37.5# 17.01KGS),FLEXIBLE URETHANES,37.5
112071,KX FLEX 60 5-GAL UNIT (77.5# 35.15KGS),FLEXIBLE URETHANES,77.5
112080A,KX FLEX 60 55-GAL PART-A (440# 199.58KGS),FLEXIBLE URETHANES,440
112080B,KX FLEX 60 55-GAL PART-B (407# 184.61KGS),FLEXIBLE URETHANES,407
112044,KX FLEX 60 CS:4 PINT UNITS (7.76# 3.52KGS),FLEXIBLE URETHANES,7.76
101541,KX FLEX 60 CURED DISK (0.20KGS),SALES AND MARKETING MATERIAL,0.02
112081,KX FLEX 60 DRUM UNIT (847# 384.19KGS),CASTING RESINS,847
112040B,KX FLEX 60 PINT PART B (0.94# 0.43KGS),FLEXIBLE URETHANES,0.94
112040A,KX FLEX 60 PINT PART-A (1# 0.45KGS),FLEXIBLE URETHANES,1
112041,KX FLEX 60 PINT UNIT (1.94# 0.88KGS),FLEXIBLE URETHANES,1.94
120313A,KX FLEX 90 1-GAL PART-A (8# 3.63KGS),FLEXIBLE URETHANES,8
120313B,KX FLEX 90 1-GAL PART-B (9.6# 4.35KGS),FLEXIBLE URETHANES,9.6
120313,KX FLEX 90 1-GAL UNIT (17.6# 7.98KGS),FLEXIBLE URETHANES,17.6
120314A,KX FLEX 90 5-GAL PART-A (35.5# 16.1KGS),FLEXIBLE URETHANES,35.5
120314B,KX FLEX 90 5-GAL PART-B (42.5# 19.28KGS),FLEXIBLE URETHANES,42.5
120314,KX FLEX 90 5-GAL UNIT (78# 35.38KGS),FLEXIBLE URETHANES,78
120344A,KX FLEX 90 55-GAL PART-A (390.5# 177.13KGS),FLEXIBLE URETHANES,390.5
120345B,KX FLEX 90 55-GAL PART-B (467.5# 212.05KGS),FLEXIBLE URETHANES,467.5
120311,KX FLEX 90 CS:4 PINT UNITS (7.2# 3.24KGS),FLEXIBLE URETHANES,7.2
101540,KX FLEX 90 CURED DISK (0.20KGS),FLEXIBLE URETHANES,0.04
120346,KX FLEX 90 DRUM UNIT (858#),FLEXIBLE URETHANES,858
120312A,KX FLEX 90 PINT PART-A (0.8#  0.36KGS),FLEXIBLE URETHANES,0.8
120312B,KX FLEX 90 PINT PART-B (1# 0.45KGS),FLEXIBLE URETHANES,1
120312,KX FLEX 90 PINT UNIT (1.8# 0.81KGS),FLEXIBLE URETHANES,1.8
AR-LG-LTXGLV,LARGE LATEX GLOVES BOX,AR-PRODUCTS PARTS,1
AR-LG-LTX-CS,LARGE LATEX GLOVES CASE OF 10,AR-PRODUCTS PARTS,10
115974,LARGE MIXING STICKS - INDIVIDUAL,MISCELLANEOUS,0
394EN503L,LARGE NITRILE BLUE GLOVES - 4MIL TEXTURED -NO PWDR,MISCELLANEOUS ACCESSORIES RAM,1
38491,LARGE PALLET STONEROK BLEND,FORTON CONCRETE AND GYPSUM LATEX,2660
109807,LARRY PARKIN DK BROWN (LP DK BROWN),BUDDY RHODES PRODUCTS,0
109806,LARRY PARKIN MED TAN (LP MED TAN),BUDDY RHODES PRODUCTS,0
109494,LARRY PARKIN TAN TILE (LP TAN TILE),BUDDY RHODES PRODUCTS,0
BALL1435,LATEX 60 40LB (LATEX 60 - 40 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1436,LATEX 60 8LB (LATEX 60 - 8 LBS),FORTON CONCRETE AND GYPSUM LATEX,0
AR-LC-BLK,LATEX COLOR - BLACK - PER LB,AR-PRODUCTS PARTS,1
AR-LC-BLU,LATEX COLOR - BLUE - PER LB,AR-PRODUCTS PARTS,1
AR-LC-BRN,LATEX COLOR - BROWN - PER LB,AR-PRODUCTS PARTS,1
AR-LC-FLE,LATEX COLOR - FLESH - PER LB,AR-PRODUCTS PARTS,1
AR-LC-GRE,LATEX COLOR - GREEN - PER LB,AR-PRODUCTS PARTS,1
AR-LC-RED,LATEX COLOR - RED - PER LB,AR-PRODUCTS PARTS,1
AR-LC-WHT,LATEX COLOR - WHITE - PER LB,AR-PRODUCTS PARTS,1
AR-LC-YEL,LATEX COLOR - YELLOW - PER LB,AR-PRODUCTS PARTS,1
BALL1437,LATEX FF 40LB (LATEX FALSE FACE - 40 LB),FORTON CONCRETE AND GYPSUM LATEX,0
MMFE16,LATEX FOAM FLOW ENHANCER - 16OZ,MISCELLANEOUS ACCESSORIES RAM,0
MMFEQ,LATEX FOAM FLOW ENHANCER - 32OZ,MISCELLANEOUS ACCESSORIES RAM,0
MMFEG,LATEX FOAM FLOW ENHANCER GALLON,MISCELLANEOUS ACCESSORIES RAM,0
LNJ144,LATEX GLOVES (100),EPOXIES AND EPOXY ADHESIVES,0
60CX17109-1,LATEX MOLD COMPOUND 1 GALLON 60-CX-17109,MISCELLANEOUS ACCESSORIES RAM,0
60CX17109,LATEX MOLD COMPOUND 5-GALLON 60-CX-17109,MISCELLANEOUS ACCESSORIES RAM,40
60CX17109-55,LATEX MOLD COMPOUND 55-GALLON 60-CX-17109,MISCELLANEOUS ACCESSORIES RAM,470
BALL1438,LATEX N 40LB (LATEX N THINNER - 40 LB),FORTON CONCRETE AND GYPSUM LATEX,0
135100,LE BEAU TOUCHE - BLACK 8-OZ SAMPLE (0.5# 0.23KGS),CHAVANT,0.5
130110,LE BEAU TOUCHE HM - BROWN (10# 4.53KGS),CHAVANT,10
130010,LE BEAU TOUCHE HM - BROWN (2# 0.90KGS),CHAVANT,2
130040,LE BEAU TOUCHE HM - BROWN CS:20 BLOCKS (40# 18.00KGS),CHAVANT,40
130140,LE BEAU TOUCHE HM - BROWN CS:5 BLOCKS (50# 22.65KGS),CHAVANT,50
130310,LE BEAU TOUCHE HM - CREAM (10# 4.53KGS),CHAVANT,10
130210,LE BEAU TOUCHE HM - CREAM (2# 0.90KGS),CHAVANT,2
130240,LE BEAU TOUCHE HM - CREAM CS:20 BLOCKS (40# 18.00KGS),CHAVANT,40
130340,LE BEAU TOUCHE HM - CREAM CS:5 BLOCKS (50# 22.65KGS),CHAVANT,50
130510,LE BEAU TOUCHE HM - GREEN (10# 4.53KGS),CHAVANT,10
130410,LE BEAU TOUCHE HM - GREEN (2# 0.90KGS),CHAVANT,2
130440,LE BEAU TOUCHE HM - GREEN CS:20 BLOCKS (40# 18.00KGS),CHAVANT,40
130540,LE BEAU TOUCHE HM - GREEN CS:5 BLOCKS (50# 22.65KGS),CHAVANT,50
129510,LE BEAU TOUCHE ORIGINAL - BROWN (10# 4.53KGS),CHAVANT,10
129410,LE BEAU TOUCHE ORIGINAL - BROWN (2# 0.90KGS),CHAVANT,2
129440,LE BEAU TOUCHE ORIGINAL - BROWN CS:20 BLOCKS (40# 18.00KGS),CHAVANT,40
129540,LE BEAU TOUCHE ORIGINAL - BROWN CS:5 BLOCKS (50# 22.65KGS),CHAVANT,50
129710,LE BEAU TOUCHE ORIGINAL - CREAM (10# 4.53KGS),CHAVANT,10
129610,LE BEAU TOUCHE ORIGINAL - CREAM (2# 0.90KGS),CHAVANT,2
129640,LE BEAU TOUCHE ORIGINAL - CREAM CS:20 BLOCKS (40# 18.00KGS),CHAVANT,40
129740,LE BEAU TOUCHE ORIGINAL - CREAM CS:5 BLOCKS (50# 22.65KGS),CHAVANT,50
129910,LE BEAU TOUCHE ORIGINAL - GREEN (10# 4.53KGS),CHAVANT,10
129810,LE BEAU TOUCHE ORIGINAL - GREEN (2# 0.90KGS),CHAVANT,2
129840,LE BEAU TOUCHE ORIGINAL - GREEN CS:20 BLOCKS (40# 18.00KGS),CHAVANT,40
129940,LE BEAU TOUCHE ORIGINAL - GREEN CS:5 BLOCKS (50# 22.65KGS),CHAVANT,50
ANE92-500-8.,"LG NITRILE POWDERED GLOVES, 100/BOX",EPOXIES AND EPOXY ADHESIVES,0
RAD64057707,"LG RADNOR POWDER-FREE GLOVES, 100/BOX",EPOXIES AND EPOXY ADHESIVES,0
BALL1439,"LG SP-8 (8"""" SPATULA HAWK EY",FORTON CONCRETE AND GYPSUM LATEX,0
102312,LID FOR 5-GALLON VACUUM CHAMBER,MISCELLANEOUS,4
102318,LID LEVER (ALUMINUM) PAIL OPENER  CS:12 (4.2# 1.92KGS),MISCELLANEOUS,4.2
99998,LID LEVER ALUMINUM PAIL OPENER (0.16KGS),MISCELLANEOUS,0.35
86021,LIFECASTING STARTER KIT (ALJA-SAFE) (3# 1.48KGS),ALGINATES- ALJASAFE,3
86022,LIFECASTING STARTER KIT CS:6 (ALJA-SAFE) (18# 8.90KGS),ALGINATES- ALJASAFE,18
109233,LIQUEFACTION COMPOUND - 30 LBS. (GDCLIQ),BUDDY RHODES PRODUCTS,30
101223,LIQUID PLASTICS FLYER (7097) *PI,SALES AND MARKETING MATERIAL,0.01
109957,LIQUID POLYMER NO E+ - 2700 LB TOTE (NOEPLUS),BUDDY RHODES PRODUCTS,2700
109151,LIQUID POLYMER NO E+ - 40LB (NOEPLUS),BUDDY RHODES PRODUCTS,40
109991,LIQUID POLYMER NO E+ 480 LB DRUM,BUDDY RHODES PRODUCTS,480
109988,LIQUID POLYMER PLUS (+ELECTROLYTES)  55-GALLON DRUM,BUDDY RHODES PRODUCTS,480
109010,LIQUID POLYMER PLUS - 40LB (BCCP2485G),BUDDY RHODES PRODUCTS,40
109200,LIQUID POLYMER PLUS - 8LB (BCCP248G),BUDDY RHODES PRODUCTS,8
102444,LIQUISTONE 0.75 LB. (FOR FACE CASTING KIT),ACCUCAST,0.75
102449,LIQUISTONE 1.15 LBS. (FOR CHILD HAND KIT),ACCUCAST,1.15
102447,LIQUISTONE 3.5 LB. BAG (ADULT HAND & FOOT CASTING KITS),ACCUCAST,3.5
SISAL1LB,"LONG THREAD SISAL FIBER, 1 LB",EPOXIES AND EPOXY ADHESIVES,0
SISAL25LB,"LONG THREAD SISAL FIBER, 25 LB BOX",EPOXIES AND EPOXY ADHESIVES,0
SISAL50LB,"LONG THREAD SISAL FIBER, 50 LB BOX",EPOXIES AND EPOXY ADHESIVES,0
120440,LTL CALL AHEAD FEE,MISCELLANEOUS,0
120441,LTL LIFT GATE FEE,MISCELLANEOUS,0
LNJ229,LUC B SIDE GALLON (HARD),EPOXIES AND EPOXY ADHESIVES,0
